Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
5400-5499 PARDEE,B,7C20,7,Northeast Division,Theft,Government or Public Buil,KASHMERE GARDENS,52,1470035400000.0,2016-08-01 02:10:00,Monday,August,02:10:00,42.2721055,-83.255951,"250,444"
1900-1999 RUNNELS,H,10H10,10,South Central Division,Auto Theft,Residence or House,SECOND WARD,63,1471160760000.0,2016-08-14 02:46:00,Sunday,August,02:46:00,29.7636515,-95.3520267,"89,675"
2700-2799 GREGG,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470689040000.0,2016-08-08 15:44:00,Monday,August,15:44:00,36.1007277,-94.1630243,"250,444"
2000-2099 SINGLETON,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1470527760000.0,2016-08-06 18:56:00,Saturday,August,18:56:00,32.7786146,-96.8529552,"173,195"
2400-2499 WASHINGTON,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470079200000.0,2016-08-01 14:20:00,Monday,August,14:20:00,37.6496821,-97.3263432,"173,195"
1000-1099 QUITMAN,H,2A10,2,Central Division,Theft,Grocery Store or Supermar,NEAR NORTHSIDE,51,1471854000000.0,2016-08-22 03:20:00,Monday,August,03:20:00,39.73314,-105.04016200000001,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1472313720000.0,2016-08-27 11:02:00,Saturday,August,11:02:00,33.2093845,-95.9605502,"228,390"
2100-2199 SUMMER,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471116780000.0,2016-08-13 14:33:00,Saturday,August,14:33:00,31.570519,-97.169133,"173,195"
2400-2499 CENTER,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470522600000.0,2016-08-06 17:30:00,Saturday,August,17:30:00,39.4842796,-82.0823515,"173,195"
3300-3399 LINN,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470362400000.0,2016-08-04 21:00:00,Thursday,August,21:00:00,42.673756,-84.235354,"250,444"
2000-2099 PANNELL,B,7C10,7,Northeast Division,Theft,Apartment,GREATER FIFTH WARD,55,1472308980000.0,2016-08-27 09:43:00,Saturday,August,09:43:00,29.7799188,-95.33224129999999,"250,444"
500-599 W 19TH,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1471032000000.0,2016-08-12 15:00:00,Friday,August,15:00:00,41.800393,-96.67107299999999,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Other Parking Lot,NORTHSIDE/NORTHLINE,45,1470311700000.0,2016-08-04 06:55:00,Thursday,August,06:55:00,33.2093845,-95.9605502,"228,390"
1400-1499 E 36TH,H,3B40,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1470705420000.0,2016-08-08 20:17:00,Monday,August,20:17:00,34.022507,-118.30041000000001,"228,390"
1400-1499 STUDEMONT,H,2A50,2,Central Division,Theft,Grocery Store or Supermar,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471023600000.0,2016-08-12 12:40:00,Friday,August,12:40:00,29.773875,-95.389728,"173,195"
2400-2499 EASTEX ,B,7C20,7,Northeast Division,Burglary,"Church, Synagogue, or Tem",GREATER FIFTH WARD,55,1472020800000.0,2016-08-24 01:40:00,Wednesday,August,01:40:00,30.102931800000004,-94.1362917,"250,444"
800-899 MAIN ST OB ,I,1A10,1,Special Operations Division,Auto Theft,"Hotel, Motel, Inn, Etc.",DOWNTOWN,61,1470838800000.0,2016-08-10 09:20:00,Wednesday,August,09:20:00,42.363601,-71.0993804,"173,195"
1000-1099 N SHEPHERD,C,2A30,2,Central Division,Theft,Grocery Store or Supermar,GREATER HEIGHTS,15,1469995440000.0,2016-07-31 15:04:00,Sunday,July,15:04:00,29.7892329,-95.4098505,"173,195"
000-099 WAUGH ,H,2A50,2,Central Division,Burglary,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471343400000.0,2016-08-16 05:30:00,Tuesday,August,05:30:00,29.768906,-95.39837469999999,"173,195"
1100-1199 BRINGHURST,B,7C10,7,Northeast Division,Theft,Residence or House,GREATER FIFTH WARD,55,1472178960000.0,2016-08-25 21:36:00,Thursday,August,21:36:00,29.770878000000003,-95.33383570000001,"250,444"
200-299 W 7TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470165300000.0,2016-08-02 14:15:00,Tuesday,August,14:15:00,38.521064200000005,-89.1417403,"173,195"
700-799 W 11TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1471296600000.0,2016-08-15 16:30:00,Monday,August,16:30:00,34.291222,-99.74871540000001,"173,195"
300-399 W 38TH,H,3B40,3,North Division,Burglary,Commercial Building,INDEPENDENCE HEIGHTS,13,1469969520000.0,2016-07-31 07:52:00,Sunday,July,07:52:00,36.1081304,-96.1259127,"228,390"
3600-3699 YALE,H,3B40,3,North Division,Burglary,Commercial Parking Lot or,INDEPENDENCE HEIGHTS,13,1470298020000.0,2016-08-04 03:07:00,Thursday,August,03:07:00,29.819458100000002,-95.39902109999998,"228,390"
3100-3199 NOBLE,B,7C10,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1469974260000.0,2016-07-31 09:11:00,Sunday,July,09:11:00,39.0455018,-97.0286265,"250,444"
900-999 W 23RD,C,2A60,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1470281100000.0,2016-08-03 22:25:00,Wednesday,August,22:25:00,30.190286100000005,-85.67434,"173,195"
1100-1199 OLIVER,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470601800000.0,2016-08-07 15:30:00,Sunday,August,15:30:00,33.5529554,-86.5418747,"173,195"
1300-1399 CROSSTIMBERS,H,3B40,3,North Division,Theft,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1470416640000.0,2016-08-05 12:04:00,Friday,August,12:04:00,38.258365000000005,-85.45056899999999,"228,390"
500-599 OXFORD,C,2A30,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1472259600000.0,2016-08-26 20:00:00,Friday,August,20:00:00,40.5338845,-87.3111079,"173,195"
900-999 BYRNE,H,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1470312120000.0,2016-08-04 07:02:00,Thursday,August,07:02:00,40.0580259,-78.7262175,"173,195"
8600-8699 FULTON,H,3B50,3,North Division,Auto Theft,Miscellaneous Business (N,NORTHSIDE/NORTHLINE,45,1471240800000.0,2016-08-15 01:00:00,Monday,August,01:00:00,39.332543,-74.511104,"228,390"
1800-1899 EDWARDS,H,2A40,2,Central Division,Theft,Driveway,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1469993400000.0,2016-07-31 14:30:00,Sunday,July,14:30:00,37.7157565,-97.3743095,"173,195"
2600-2699 FULTON ST IB,H,2A10,2,Central Division,Theft,Convenience Store Parking,NEAR NORTHSIDE,51,1471599000000.0,2016-08-19 04:30:00,Friday,August,04:30:00,41.68752070000001,-86.0034171,"173,195"
2800-2899 E CROSSTIMBERS,H,7C30,7,Northeast Division,Aggravated Assault,Liquor Store,EASTEX - JENSEN AREA,46,1470586740000.0,2016-08-07 11:19:00,Sunday,August,11:19:00,29.828709399999997,-95.3412053,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1470247680000.0,2016-08-03 13:08:00,Wednesday,August,13:08:00,33.2093845,-95.9605502,"228,390"
4200-4299 CRANE,B,7C20,7,Northeast Division,Theft,Other Parking Lot,KASHMERE GARDENS,52,1470417120000.0,2016-08-05 12:12:00,Friday,August,12:12:00,33.4128809,-102.30112120000001,"250,444"
800-899 POST,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1471622400000.0,2016-08-19 11:00:00,Friday,August,11:00:00,41.7544706,-71.4126075,"228,390"
1100-1199 DUNBAR,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470150000000.0,2016-08-02 10:00:00,Tuesday,August,10:00:00,35.9483201,-77.65600740000001,"173,195"
3100-3199 COLLINGSWORTH,B,7C20,7,Northeast Division,Burglary,Department or Discount St,GREATER FIFTH WARD,55,1472002320000.0,2016-08-23 20:32:00,Tuesday,August,20:32:00,29.7938278,-95.3383877,"250,444"
3500-3599 KATY ,C,2A50,2,Central Division,Burglary,Rental Storage Facility,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470938400000.0,2016-08-11 13:00:00,Thursday,August,13:00:00,29.588603600000003,-95.3003417,"173,195"
1500-1599 PRINCE,C,2A60,2,Central Division,Theft,Garage or Carport,GREATER HEIGHTS,15,1469988000000.0,2016-07-31 13:00:00,Sunday,July,13:00:00,31.142853999999996,-81.48451800000001,"173,195"
800-899 VICTORIA,H,3B40,3,North Division,Burglary,"Factory, Manufacturing, o",INDEPENDENCE HEIGHTS,13,1469836860000.0,2016-07-29 19:01:00,Friday,July,19:01:00,36.996097999999996,-76.39403,"228,390"
1100-1199 YALE,C,2A30,2,Central Division,Theft,"Gym, Recreat, Club House,",GREATER HEIGHTS,15,1470040560000.0,2016-08-01 03:36:00,Monday,August,03:36:00,35.2922284,-82.5597994,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1469895900000.0,2016-07-30 11:25:00,Saturday,July,11:25:00,33.2093845,-95.9605502,"228,390"
800-899 CONGRESS,I,1A10,1,Special Operations Division,Aggravated Assault,"Road, Street, or Sidewalk",DOWNTOWN,61,1470094560000.0,2016-08-01 18:36:00,Monday,August,18:36:00,31.366311100000004,-81.4252281,"173,195"
900-999 N LOOP,H,3B40,3,North Division,Rape,Residence or House,INDEPENDENCE HEIGHTS,13,1470624060000.0,2016-08-07 21:41:00,Sunday,August,21:41:00,40.030246000000005,-76.3220478,"228,390"
2500-2599 SHEARN,H,2A40,2,Central Division,Theft,Clothing Store,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470396720000.0,2016-08-05 06:32:00,Friday,August,06:32:00,29.7744114,-95.3825557,"173,195"
000-099 CROSSTIMBERS,H,3B50,3,North Division,Theft,Restaurant or Cafeteria P,NORTHSIDE/NORTHLINE,45,1471685400000.0,2016-08-20 04:30:00,Saturday,August,04:30:00,33.0646789,-97.24059179999999,"228,390"
7400-7499 IRVINGTON,H,3B50,3,North Division,Theft,Service or Gas Station,NORTHSIDE/NORTHLINE,45,1469910060000.0,2016-07-30 15:21:00,Saturday,July,15:21:00,36.017336,-95.9097984,"228,390"
100-199 CAPLIN,H,3B50,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1471175520000.0,2016-08-14 06:52:00,Sunday,August,06:52:00,29.8154848,-95.37030659999999,"228,390"
200-299 AMUNDSEN,H,2A10,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1470314820000.0,2016-08-04 07:47:00,Thursday,August,07:47:00,29.8007548,-95.3697219,"173,195"
4700-4799 SIEGEL,H,2A10,2,Central Division,Burglary,Vacant Other Residential,NEAR NORTHSIDE,51,1470412800000.0,2016-08-05 11:00:00,Friday,August,11:00:00,29.8024617,-95.3666304,"173,195"
1200-1299 MATHIS,H,2A20,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1471106700000.0,2016-08-13 11:45:00,Saturday,August,11:45:00,26.604862,-80.1032929,"173,195"
2400-2499 WASHINGTON,H,2A40,2,Central Division,Theft,Bar or Night Club Parking,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470603600000.0,2016-08-07 16:00:00,Sunday,August,16:00:00,37.6496821,-97.3263432,"173,195"
3100-3199 COLLINGSWORTH,B,7C20,7,Northeast Division,Burglary,Grocery Store or Supermar,GREATER FIFTH WARD,55,1470383280000.0,2016-08-05 02:48:00,Friday,August,02:48:00,29.7938278,-95.3383877,"250,444"
2600-2699 FULTON ST IB,H,2A10,2,Central Division,Theft,Convenience Store,NEAR NORTHSIDE,51,1471804020000.0,2016-08-21 13:27:00,Sunday,August,13:27:00,41.68752070000001,-86.0034171,"173,195"
1400-1499 GREGG,B,7C10,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470161280000.0,2016-08-02 13:08:00,Tuesday,August,13:08:00,34.007692,-81.02328100000001,"250,444"
4400-4499 CAVALCADE,B,7C20,7,Northeast Division,Theft,Residence or House,KASHMERE GARDENS,52,1471028400000.0,2016-08-12 14:00:00,Friday,August,14:00:00,29.800193,-95.3258542,"250,444"
3500-3599 KATY ,C,2A50,2,Central Division,Theft,"Vacant Storage Fac (Barn,",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471674600000.0,2016-08-20 01:30:00,Saturday,August,01:30:00,29.588603600000003,-95.3003417,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Miscellaneous Business (N,NORTHSIDE/NORTHLINE,45,1470159000000.0,2016-08-02 12:30:00,Tuesday,August,12:30:00,33.2093845,-95.9605502,"228,390"
800-899 CROSBY,C,1A20,1,Central Division,Theft,Residence or House,FOURTH WARD,60,1470905640000.0,2016-08-11 03:54:00,Thursday,August,03:54:00,29.828934399999998,-95.3796783,"173,195"
900-999 CORDELL,H,2A20,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470317160000.0,2016-08-04 08:26:00,Thursday,August,08:26:00,29.7590684,-95.3762921,"173,195"
400-499 MCKINNEY,I,1A10,1,Special Operations Division,Aggravated Assault,"Road, Street, or Sidewalk",DOWNTOWN,61,1470507180000.0,2016-08-06 13:13:00,Saturday,August,13:13:00,29.799062199999998,-95.3746809,"173,195"
100-199 HEIGHTS,C,2A50,2,Central Division,Theft,Restaurant or Cafeteria P,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470731700000.0,2016-08-09 03:35:00,Tuesday,August,03:35:00,29.760053600000003,-95.3700791,"173,195"
800-899 CROSSTIMBERS,H,3B40,3,North Division,Robbery,Bus Stop,INDEPENDENCE HEIGHTS,13,1470072660000.0,2016-08-01 12:31:00,Monday,August,12:31:00,29.7704001,-95.39715509999999,"228,390"
2900-2999 CETTI,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1470483000000.0,2016-08-06 06:30:00,Saturday,August,06:30:00,29.828333,-95.388015,"173,195"
600-699 LOUISIANA,I,1A10,1,Special Operations Division,Auto Theft,Commercial Parking Lot or,DOWNTOWN,61,1471460400000.0,2016-08-17 14:00:00,Wednesday,August,14:00:00,29.7880877,-95.3586179,"173,195"
1200-1299 PRAIRIE,I,1A10,1,Special Operations Division,Theft,Commercial Building,DOWNTOWN,61,1472126400000.0,2016-08-25 07:00:00,Thursday,August,07:00:00,29.761375,-95.36586899999999,"173,195"
100-199 CAVALCADE,H,2A20,2,Central Division,Aggravated Assault,Vehicle/Auto Sales/Lease/,NEAR NORTHSIDE,51,1470446640000.0,2016-08-05 20:24:00,Friday,August,20:24:00,29.759706199999997,-95.3601821,"173,195"
4500-4599 KASHMERE,B,7C20,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",KASHMERE GARDENS,52,1471020840000.0,2016-08-12 11:54:00,Friday,August,11:54:00,29.803773600000003,-95.37198000000001,"250,444"
1700-1799 BLUEBONNET PLACE CI,C,1A20,1,Central Division,Theft,Apartment Parking Lot,FOURTH WARD,60,1472407200000.0,2016-08-28 13:00:00,Sunday,August,13:00:00,29.80097,-95.32389,"173,195"
3100-3199 MEMORIAL,H,2A40,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471078800000.0,2016-08-13 04:00:00,Saturday,August,04:00:00,29.758495899999996,-95.37949909999999,"173,195"
2800-2899 QUITMAN,B,7C10,7,Northeast Division,Burglary,Miscellaneous Business (N,GREATER FIFTH WARD,55,1471021200000.0,2016-08-12 12:00:00,Friday,August,12:00:00,29.763133000000003,-95.391468,"250,444"
600-699 W SAWYER,H,2A40,2,Central Division,Burglary,Commercial Building,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471872600000.0,2016-08-22 08:30:00,Monday,August,08:30:00,29.7835113,-95.34189599999999,"173,195"
4300-4399 NORTH ,H,3B50,3,North Division,Robbery,Miscellaneous Business (N,NORTHSIDE/NORTHLINE,45,1471680060000.0,2016-08-20 03:01:00,Saturday,August,03:01:00,29.727663300000003,-95.42062299999999,"228,390"
4900-4999 HARDY,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1471568400000.0,2016-08-18 20:00:00,Thursday,August,20:00:00,29.8043066,-95.35247509999999,"173,195"
5200-5299 HARDY,H,2A10,2,Central Division,Burglary,Residence or House,NEAR NORTHSIDE,51,1471942800000.0,2016-08-23 04:00:00,Tuesday,August,04:00:00,29.806858399999996,-95.35254509999999,"173,195"
2200-2299 FULTON,H,2A10,2,Central Division,Theft,Miscellaneous Business (N,NEAR NORTHSIDE,51,1471366200000.0,2016-08-16 11:50:00,Tuesday,August,11:50:00,29.7810307,-95.3594148,"173,195"
1000-1099 E 27TH,H,2A20,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1471318200000.0,2016-08-15 22:30:00,Monday,August,22:30:00,29.811516499999996,-95.3860739,"173,195"
4100-4199 NORTH ,H,3B40,3,North Division,Burglary,OfficeBuilding,INDEPENDENCE HEIGHTS,13,1471293000000.0,2016-08-15 15:30:00,Monday,August,15:30:00,29.727663300000003,-95.42062299999999,"228,390"
2100-2199 TAYLOR,H,2A40,2,Central Division,Robbery,Bank,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470483600000.0,2016-08-06 06:40:00,Saturday,August,06:40:00,29.7761882,-95.3807489,"173,195"
4200-4299 YALE,H,3B40,3,North Division,Burglary,"Church, Synagogue, or Tem",INDEPENDENCE HEIGHTS,13,1471073580000.0,2016-08-13 02:33:00,Saturday,August,02:33:00,29.8243702,-95.3995468,"228,390"
3500-3599 LIBERTY,B,7C20,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1470545460000.0,2016-08-06 23:51:00,Saturday,August,23:51:00,29.7848354,-95.3350516,"250,444"
700-799 W 17TH,C,2A30,2,Central Division,Rape,"Multi-Plex Home (Duplex,T",GREATER HEIGHTS,15,1472375160000.0,2016-08-28 04:06:00,Sunday,August,04:06:00,29.800727399999996,-95.4101233,"173,195"
1000-1099 SYDNOR CT,B,7C10,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1471276800000.0,2016-08-15 11:00:00,Monday,August,11:00:00,29.770094300000004,-95.3379061,"250,444"
500-599 W 13TH,C,2A30,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1470235860000.0,2016-08-03 09:51:00,Wednesday,August,09:51:00,29.7942977,-95.4023636,"173,195"
4900-4999 MARABLE,H,3B40,3,North Division,Robbery,Apartment Rental Office,INDEPENDENCE HEIGHTS,13,1470239460000.0,2016-08-03 10:51:00,Wednesday,August,10:51:00,29.8379141,-95.3894355,"228,390"
2900-2999 WIPPRECHT,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470581520000.0,2016-08-07 09:52:00,Sunday,August,09:52:00,29.787813699999997,-95.32199759999999,"250,444"
1600-1699 CROCKETT,H,2A40,2,Central Division,Burglary,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471482000000.0,2016-08-17 20:00:00,Wednesday,August,20:00:00,29.773737,-95.3736206,"173,195"
4500-4599 AIRLINE,H,3B40,3,North Division,Theft,Grocery Store or Supermar,INDEPENDENCE HEIGHTS,13,1471687200000.0,2016-08-20 05:00:00,Saturday,August,05:00:00,29.8312575,-95.3842883,"228,390"
4400-4499 LOCKWOOD,B,7C20,7,Northeast Division,Robbery,Specialty Store (Non-Spec,KASHMERE GARDENS,52,1471068000000.0,2016-08-13 01:00:00,Saturday,August,01:00:00,29.800736999999998,-95.316367,"250,444"
700-799 TEXAS,I,1A10,1,Special Operations Division,Theft,"Hotel, Motel, Inn, Etc.",DOWNTOWN,61,1471212000000.0,2016-08-14 17:00:00,Sunday,August,17:00:00,29.7615075,-95.3651336,"173,195"
1400-1499 E 35TH,H,3B40,3,North Division,Burglary,Residence or House,INDEPENDENCE HEIGHTS,13,1471663200000.0,2016-08-19 22:20:00,Friday,August,22:20:00,29.817930100000005,-95.3809876,"228,390"
3800-3899 TERRY,H,2A10,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1471122000000.0,2016-08-13 16:00:00,Saturday,August,16:00:00,29.794905600000003,-95.3531922,"173,195"
2200-2299 TAYLOR,H,2A40,2,Central Division,Aggravated Assault,Strip Business Center Par,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471635720000.0,2016-08-19 14:42:00,Friday,August,14:42:00,29.7790224,-95.38124920000001,"173,195"
4200-4299 WIPPRECHT,B,7C20,7,Northeast Division,Theft,Residence or House,KASHMERE GARDENS,52,1471723200000.0,2016-08-20 15:00:00,Saturday,August,15:00:00,29.798467,-95.3222868,"250,444"
1900-1999 STEVENS,B,7C10,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1472147400000.0,2016-08-25 12:50:00,Thursday,August,12:50:00,29.7785772,-95.3439084,"250,444"
3300-3399 LINK,H,3B40,3,North Division,Burglary,"Church, Synagogue, or Tem",INDEPENDENCE HEIGHTS,13,1471739820000.0,2016-08-20 19:37:00,Saturday,August,19:37:00,29.8165293,-95.3913508,"228,390"
2100-2199 KEENE,H,2A10,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1471708800000.0,2016-08-20 11:00:00,Saturday,August,11:00:00,29.7781833,-95.36356009999999,"173,195"
4600-4699 BRISTOL,H,2A10,2,Central Division,Theft,Commercial Building,NEAR NORTHSIDE,51,1471800600000.0,2016-08-21 12:30:00,Sunday,August,12:30:00,29.801489399999998,-95.3713218,"173,195"
3700-3799 LYNNFIELD,B,8C10,8,Northeast Division,Rape,"Daycare, Child Care, or K",TRINITY / HOUSTON GARDENS,48,1471532040000.0,2016-08-18 09:54:00,Thursday,August,09:54:00,29.8205104,-95.33437409999999,"250,444"
3000-3099 GREEN,B,7C10,7,Northeast Division,Auto Theft,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1471509000000.0,2016-08-18 03:30:00,Thursday,August,03:30:00,29.7714468,-95.3393883,"250,444"
700-799 CORDELL,H,2A20,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1470524400000.0,2016-08-06 18:00:00,Saturday,August,18:00:00,29.79725,-95.37442,"173,195"
4500-4599 PICKFAIR,B,7C20,7,Northeast Division,Theft,Vacant Single Occ Resd(Ho,KASHMERE GARDENS,52,1470909360000.0,2016-08-11 04:56:00,Thursday,August,04:56:00,29.8012586,-95.318795,"250,444"
2200-2299 KNIGHT,H,7C30,7,Northeast Division,Theft,Driveway,EASTEX - JENSEN AREA,46,1470303480000.0,2016-08-04 04:38:00,Thursday,August,04:38:00,29.840445799999998,-95.35265600000001,"250,444"
2500-2599 AIRLINE,H,2A20,2,Central Division,Auto Theft,Miscellaneous Business (N,GREATER HEIGHTS,15,1470637200000.0,2016-08-08 01:20:00,Monday,August,01:20:00,29.809724100000004,-95.3819901,"173,195"
100-199 YALE ,C,2A50,2,Central Division,Robbery,Restaurant or Cafeteria,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471647900000.0,2016-08-19 18:05:00,Friday,August,18:05:00,29.7717266,-95.3988981,"173,195"
6400-6499 W HARDY,H,3B50,3,North Division,Auto Theft,Warehouse,EASTEX - JENSEN AREA,46,1470898620000.0,2016-08-11 01:57:00,Thursday,August,01:57:00,29.8197873,-95.3523375,"228,390"
4400-4499 LYONS,B,7C10,7,Northeast Division,Theft,Convenience Store Parking,GREATER FIFTH WARD,55,1470495180000.0,2016-08-06 09:53:00,Saturday,August,09:53:00,29.776147700000003,-95.32630209999999,"250,444"
7600-7699 SCHULLER,H,7C30,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",EASTEX - JENSEN AREA,46,1470257100000.0,2016-08-03 15:45:00,Wednesday,August,15:45:00,29.8276935,-95.3406959,"250,444"
100-199 E CROSSTIMBERS,H,3B50,3,North Division,Robbery,Department or Discount St,NORTHSIDE/NORTHLINE,45,1472066700000.0,2016-08-24 14:25:00,Wednesday,August,14:25:00,29.8280157,-95.37566109999999,"228,390"
3500-3599 BREWSTER,B,7C20,7,Northeast Division,Theft,Residence or House,KASHMERE GARDENS,52,1470918720000.0,2016-08-11 07:32:00,Thursday,August,07:32:00,29.794691999999998,-95.3372267,"250,444"
6500-6599 LAVENDER,B,8C20,8,Northeast Division,Theft,Residence or House,TRINITY / HOUSTON GARDENS,48,1470664020000.0,2016-08-08 08:47:00,Monday,August,08:47:00,29.818917600000002,-95.32050720000001,"250,444"
3100-3199 LEGION,B,7C20,7,Northeast Division,Burglary,Residence or House,KASHMERE GARDENS,52,1470202560000.0,2016-08-03 00:36:00,Wednesday,August,00:36:00,29.7953613,-95.337257,"250,444"
7000-7099 SAYERS,H,8C10,8,Northeast Division,Theft,Residence or House,TRINITY / HOUSTON GARDENS,48,1472344020000.0,2016-08-27 19:27:00,Saturday,August,19:27:00,29.823093100000005,-95.3323632,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1469985300000.0,2016-07-31 12:15:00,Sunday,July,12:15:00,29.828934399999998,-95.3796783,"228,390"
100-199 HEIGHTS,C,2A50,2,Central Division,Auto Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1472480280000.0,2016-08-29 09:18:00,Monday,August,09:18:00,29.7704001,-95.39715509999999,"173,195"
3100-3199 CRESTON,H,7C20,7,Northeast Division,Aggravated Assault,Residence or House,EASTEX - JENSEN AREA,46,1471039140000.0,2016-08-12 16:59:00,Friday,August,16:59:00,29.818815,-95.340333,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1470499200000.0,2016-08-06 11:00:00,Saturday,August,11:00:00,29.828934399999998,-95.3796783,"228,390"
1500-1599 JOHNSON,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471730400000.0,2016-08-20 17:00:00,Saturday,August,17:00:00,29.771509899999998,-95.3735441,"173,195"
7600-7699 JENSEN,H,7C30,7,Northeast Division,Robbery,Service or Gas Station,EASTEX - JENSEN AREA,46,1471393140000.0,2016-08-16 19:19:00,Tuesday,August,19:19:00,29.827899,-95.342062,"250,444"
500-599 COLUMBIA,C,2A30,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1469972700000.0,2016-07-31 08:45:00,Sunday,July,08:45:00,29.779726300000004,-95.39288459999999,"173,195"
100-199 E 2ND,C,2A50,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1471469400000.0,2016-08-17 16:30:00,Wednesday,August,16:30:00,29.7742316,-95.39724559999999,"173,195"
